-,-,-
12, 37, 970
12, 37, 970
-4, 23, 968
-11, -10, 995
-36, -45, 1019
-64, -82, 1053
-64, -82, 1053
-122, -126, 1090
-246, -225, 1109
-372, -326, 1070
-485, -451, 1029
-548, -497, 1022
-581, -480, 953
-569, -471, 855
-476, -472, 854
-378, -419, 852
-299, -383, 900
-236, -333, 905
-164, -307, 868
-164, -307, 868
-54, -200, 877
64, -134, 956
226, -137, 1058
430, 8, 1089
634, 212, 1091
828, 326, 1103
828, 326, 1103
1071, 425, 1129
1272, 499, 1056
1473, 523, 990
1667, 488, 1002
1857, 516, 997
1934, 633, 896
1844, 588, 789
1844, 588, 789
1630, 442, 659
1368, 216, 605
1042, -104, 603
695, -255, 637
230, -455, 801
-282, -766, 879
-676, -985, 950
-676, -985, 950
-933, -703, 987
-1025, -470, 1074
-959, -382, 1338
-883, -321, 1432
-750, -105, 1249
-,-,-
38, 50, 1012
12, -9, 965
-35, -69, 958
-85, -176, 978
-85, -176, 978
-154, -279, 1008
-273, -376, 1035
-525, -624, 1068
-818, -884, 1094
-967, -1003, 1008
-926, -890, 804
-774, -666, 683
-569, -642, 746
-275, -456, 852
-41, -210, 909
143, -30, 948
143, -30, 948
327, 2, 1069
543, 115, 1112
735, 289, 1132
913, 409, 1184
1067, 521, 1183
1163, 526, 1180
1163, 526, 1180
1242, 572, 1063
1294, 524, 1017
1332, 398, 989
1301, 270, 919
1214, 131, 850
1071, -27, 817
894, -204, 820
894, -204, 820
734, -263, 839
570, -301, 883
354, -272, 885
170, -240, 870
-63, -320, 929
-357, -313, 918
-588, -206, 915
-588, -206, 915
-,-,-
91, -149, 994
16, -167, 971
-8, -209, 968
-8, -209, 968
-44, -262, 984
-125, -323, 1007
-261, -417, 1024
-436, -570, 963
-602, -707, 915
-675, -746, 884
-641, -741, 855
-597, -682, 845
-597, -682, 845
-482, -595, 845
-312, -479, 902
-201, -333, 879
-139, -180, 814
36, 39, 744
270, 129, 947
491, 318, 1153
491, 318, 1153
623, 509, 1190
678, 627, 1142
746, 667, 1160
764, 509, 1208
819, 401, 1241
843, 369, 1152
843, 369, 1152
804, 247, 1088
798, 47, 1058
864, -90, 1062
954, -139, 1023
994, -186, 1018
1013, -207, 965
970, -282, 937
970, -282, 937
917, -315, 889
810, -350, 857
708, -287, 801
592, -244, 736
486, -200, 710
421, -152, 757
421, -152, 757
139, -288, 835
-340, -111, 831
-782, -76, 967
-949, -317, 1129
-976, -526, 1319
-865, -376, 1342
-762, -260, 1218
-622, -79, 1045
-494, -42, 978
-494, -42, 978
-374, -36, 963
-271, -120, 1041
-159, -96, 1090
-47, -44, 1065
-,-,-
-88, -207, 963
-179, -322, 1000
-269, -424, 1037
-350, -468, 1085
-387, -448, 1021
-401, -429, 1003
-374, -400, 1058
-347, -397, 1059
-365, -390, 978
-357, -390, 932
-357, -393, 932
-331, -377, 884
-249, -428, 871
-73, -297, 880
99, -223, 927
275, -104, 963
455, 39, 1003
455, 39, 1003
607, 211, 951
850, 464, 989
967, 601, 1021
993, 619, 1057
1039, 638, 1087
1033, 533, 1104
1033, 533, 1104
1016, 316, 1185
962, 127, 1196
861, 3, 1115
770, -107, 1068
705, -199, 1044
653, -215, 1010
584, -113, 906
584, -113, 906
475, -95, 847
436, -100, 886
397, -130, 915
374, -97, 934
337, -24, 895
337, -24, 895
292, -10, 882
255, -8, 896
234, 1, 883
234, 1, 883
187, -10, 865
101, -49, 848
-25, 7, 805
-25, 7, 805
-158, -5, 870
-318, -177, 1050
-412, -251, 1183
-491, -189, 1261
-539, -148, 1360
-543, -182, 1433
-466, -122, 1378
-365, -80, 1259
-250, -74, 1221
-103, 12, 1158
-103, 12, 1158
-23, 40, 1073
38, 100, 958
84, 92, 944
-,-,-
273, -119, 978
273, -119, 978
273, -95, 1008
236, -95, 1043
167, -138, 1058
92, -180, 1071
-38, -240, 1125
-193, -344, 1208
-386, -473, 1164
-556, -556, 1095
-593, -605, 980
-593, -605, 980
-595, -582, 881
-533, -543, 909
-434, -505, 1020
-322, -517, 1143
-246, -335, 1004
-131, -234, 862
101, -161, 890
254, -129, 1011
350, -88, 958
518, 129, 869
518, 129, 869
650, 303, 847
739, 446, 843
826, 517, 928
894, 532, 1013
894, 532, 1013
927, 568, 965
941, 493, 1029
986, 403, 1103
962, 244, 1108
904, 117, 1117
868, 59, 1030
868, 59, 1030
863, -65, 1028
864, -115, 1026
784, -166, 937
735, -130, 892
683, -78, 806
683, -78, 806
593, -120, 805
486, -199, 847
381, -185, 799
293, -153, 756
208, -178, 785
128, -154, 845
128, -154, 845
0, -6, 890
-193, 34, 914
-357, -12, 935
-492, -111, 1061
-556, -188, 1284
-516, -119, 1446
-516, -119, 1446
-507, -136, 1455
-503, -170, 1333
-,-,-
191, -127, 978
195, -115, 920
191, -106, 1013
162, -134, 1082
93, -207, 1151
-23, -268, 1215
-23, -268, 1215
-181, -359, 1170
-353, -415, 1083
-463, -495, 1008
-487, -499, 988
-472, -483, 1000
-415, -422, 985
-288, -305, 991
-170, -249, 1051
-151, -294, 1062
-148, -326, 1010
-66, -321, 944
66, -197, 919
66, -197, 919
169, -96, 922
252, -41, 899
364, 40, 912
421, 95, 874
421, 95, 874
501, 141, 894
562, 187, 978
600, 290, 961
577, 299, 947
577, 299, 947
579, 222, 1053
653, 245, 1105
693, 284, 1084
690, 281, 1107
693, 222, 1144
693, 222, 1144
721, 211, 1092
725, 202, 1060
725, 153, 1047
740, 89, 1020
737, 41, 956
737, 41, 956
705, -6, 895
669, -41, 863
619, -93, 842
546, -169, 858
546, -169, 858
487, -208, 887
435, -230, 896
340, -258, 909
228, -273, 860
176, -293, 919
129, -217, 924
129, -217, 924
37, -121, 878
-62, 17, 832
-177, -4, 935
-340, 12, 1042
-340, 12, 1042
-503, -62, 1184
-600, -111, 1288
-603, -79, 1366
-538, -118, 1438
-424, -107, 1398
-301, -107, 1313
-,-,-
172, -200, 1119
127, -236, 1152
127, -236, 1152
27, -288, 1092
-108, -313, 1004
-230, -358, 898
-310, -388, 861
-308, -378, 938
-275, -399, 1066
-269, -441, 1164
-312, -509, 1146
-387, -557, 1014
-370, -570, 960
-276, -547, 1006
-188, -472, 1044
-126, -347, 918
-126, -347, 918
-49, -284, 779
115, -143, 822
279, 0, 937
403, 93, 992
495, 240, 890
495, 240, 890
567, 419, 817
635, 489, 912
699, 509, 998
725, 513, 1021
725, 513, 1021
720, 442, 1054
748, 318, 1127
757, 190, 1214
742, 117, 1182
741, 70, 1137
717, -12, 1136
717, -12, 1136
664, -92, 1113
641, -124, 1064
644, -163, 1022
667, -147, 960
624, -173, 914
587, -159, 864
560, -129, 821
560, -129, 821
486, -152, 820
429, -145, 825
371, -145, 839
302, -129, 828
243, -67, 810
243, -67, 810
172, -36, 808
96, -61, 876
18, -40, 919
-123, -124, 1013
-301, -185, 1098
-301, -185, 1098
-473, -195, 1117
-548, -169, 1150
-577, -227, 1233
-565, -219, 1297
-495, -150, 1291
-405, -102, 1256
-,-,-
190, -232, 1028
261, -193, 1018
269, -152, 975
249, -207, 1088
197, -264, 1150
77, -332, 1167
-93, -378, 1177
-93, -378, 1177
-313, -481, 1186
-534, -644, 1125
-637, -566, 957
-611, -503, 903
-539, -457, 981
-422, -495, 1017
-314, -531, 1038
-216, -472, 957
-162, -368, 852
-41, -291, 795
147, -206, 819
291, -193, 881
291, -193, 881
406, -121, 934
491, -34, 914
506, 101, 812
561, 141, 795
561, 141, 795
702, 172, 996
783, 239, 1084
793, 316, 1051
837, 278, 1065
935, 241, 1142
986, 224, 1149
986, 224, 1149
998, 180, 1166
964, 155, 1131
940, 111, 1095
943, 55, 1070
868, -75, 1026
868, -75, 1026
796, -134, 939
708, -145, 821
647, -152, 734
551, -265, 759
485, -295, 787
411, -321, 795
411, -321, 795
270, -344, 756
186, -308, 755
76, -289, 806
-92, -225, 866
-286, -186, 951
-465, -223, 1084
-610, -298, 1263
-733, -279, 1361
-747, -260, 1387
-747, -260, 1387
-,-,-
87, -398, 1063
90, -389, 1137
90, -389, 1137
74, -345, 1096
61, -324, 1032
59, -258, 978
-2, -246, 1038
-136, -353, 1099
-332, -555, 1139
-456, -648, 1125
-456, -648, 1125
-472, -649, 1157
-429, -609, 1161
-363, -550, 1070
-263, -469, 932
-125, -411, 909
4, -351, 973
56, -234, 925
111, -58, 781
169, 39, 789
169, 39, 789
202, 88, 893
241, 119, 949
310, 210, 936
310, 210, 936
366, 324, 912
431, 382, 949
538, 305, 1048
685, 288, 1137
795, 346, 1109
795, 346, 1109
880, 345, 1142
944, 242, 1162
967, 98, 1165
949, -11, 1086
887, -130, 1030
813, -248, 1038
813, -248, 1038
721, -329, 1033
633, -302, 1007
580, -240, 967
471, -315, 954
410, -255, 889
364, -196, 829
325, -162, 808
325, -162, 808
265, -220, 851
171, -265, 855
74, -242, 873
-26, -173, 875
-160, -224, 936
-310, -298, 1045
-449, -197, 1140
-573, -167, 1151
-573, -167, 1151
-,-,-
81, -466, 1019
81, -466, 1019
77, -415, 1066
38, -443, 1109
-29, -504, 1093
-111, -529, 1080
-187, -584, 1112
-281, -657, 1090
-379, -707, 1040
-436, -722, 1035
-474, -693, 994
-535, -613, 903
-561, -607, 794
-462, -521, 760
-462, -521, 760
-266, -399, 861
-82, -212, 930
83, -149, 938
310, -90, 1008
519, -31, 1112
661, 120, 1078
661, 120, 1078
771, 302, 1020
835, 409, 1027
917, 480, 1063
937, 467, 1096
922, 414, 1099
881, 359, 1050
881, 359, 1050
842, 267, 1045
799, 149, 1056
730, 49, 1047
668, -42, 1031
624, -150, 1019
590, -242, 1005
563, -264, 956
563, -264, 956
574, -224, 905
576, -210, 896
538, -221, 866
465, -257, 863
416, -228, 831
341, -237, 848
341, -237, 848
253, -256, 879
167, -269, 882
73, -246, 871
-18, -152, 861
-108, -80, 868
-224, -80, 957
-224, -88, 957
-371, -156, 1102
-522, -188, 1212
-620, -162, 1265
-621, -70, 1263
-,-,-
196, -273, 1116
184, -348, 1074
95, -355, 1055
12, -402, 1040
-54, -454, 1058
-132, -511, 1098
-132, -511, 1098
-266, -611, 1152
-424, -701, 1142
-495, -697, 1024
-462, -558, 947
-432, -468, 946
-417, -398, 949
-334, -364, 945
-218, -319, 988
-94, -212, 1024
-14, -141, 1008
109, -70, 889
323, -27, 953
323, -27, 953
488, 49, 983
556, 181, 902
655, 332, 846
655, 332, 951
748, 311, 951
825, 304, 1076
866, 409, 1023
858, 415, 1002
876, 329, 1114
858, 214, 1169
858, 214, 1169
822, 194, 1116
808, 164, 1077
787, 49, 1098
758, -57, 1099
718, -139, 1056
644, -225, 1004
644, -225, 1004
537, -257, 936
440, -290, 877
372, -343, 870
337, -352, 890
340, -284, 911
244, -313, 882
141, -316, 838
141, -316, 838
34, -256, 804
-79, -145, 788
-214, -143, 890
-395, -271, 1092
-,-,-
137, -284, 1062
111, -316, 1073
69, -302, 1013
69, -302, 1013
17, -270, 982
-11, -264, 1020
-50, -260, 1044
-122, -314, 1066
-196, -330, 1071
-263, -340, 1088
-295, -310, 1090
-312, -336, 1101
-333, -364, 1109
-343, -400, 1074
-302, -380, 1023
-252, -422, 969
-210, -495, 956
-179, -468, 871
-179, -468, 871
-104, -416, 729
17, -369, 769
144, -333, 921
218, -237, 976
247, -138, 985
315, -5, 989
315, -5, 989
427, 107, 1036
523, 178, 1081
619, 342, 1046
649, 395, 1054
728, 449, 1130
728, 449, 1130
763, 507, 1143
761, 498, 1096
763, 404, 1118
745, 276, 1156
706, 147, 1135
653, -29, 1142
653, -29, 1142
604, -196, 1151
555, -289, 1086
532, -277, 980
470, -267, 877
401, -323, 853
341, -355, 841
286, -317, 811
286, -317, 811
272, -202, 751
253, -150, 726
230, -181, 793
208, -188, 919
180, -95, 941
180, -95, 941
100, -124, 923
-19, -130, 932
-213, -123, 980
-424, -155, 1104
-,-,-
16, -140, 992
-30, -215, 964
-82, -303, 1035
-107, -304, 1045
-98, -263, 993
-63, -226, 1018
-63, -226, 1018
-35, -229, 1058
-83, -341, 1089
-175, -382, 1033
-217, -361, 1004
-222, -392, 1079
-234, -451, 1128
-269, -480, 1136
-318, -460, 1062
-318, -426, 967
-281, -301, 866
-215, -295, 915
-179, -233, 983
-131, -150, 921
-42, 16, 848
-42, 16, 848
116, 175, 859
307, 204, 986
496, 148, 1152
496, 148, 1152
661, 260, 1105
814, 354, 1041
958, 419, 1081
1045, 327, 1140
1132, 264, 1198
1184, 295, 1138
1128, 240, 1079
1001, 100, 1073
1001, 100, 1073
866, 22, 1034
704, -86, 936
557, -186, 892
406, -257, 887
310, -240, 916
253, -224, 930
253, -224, 930
219, -219, 922
149, -252, 941
96, -229, 937
73, -171, 923
59, -129, 958
59, -129, 958
43, -98, 958
4, -135, 950
-19, -173, 992
-40, -146, 1046
-40, -146, 1046
-102, -145, 1129
-184, -171, 1133
-,-,-
111, -306, 1027
115, -283, 976
115, -283, 976
71, -327, 975
-3, -333, 982
-93, -383, 951
-152, -398, 943
-190, -429, 1048
-215, -418, 1123
-256, -446, 1114
-338, -457, 1034
-338, -457, 1034
-378, -428, 918
-314, -315, 831
-231, -239, 879
-162, -294, 983
-22, -277, 1012
148, -119, 932
268, 68, 840
387, 136, 873
387, 136, 873
494, 170, 960
577, 177, 974
695, 248, 1030
775, 330, 1041
816, 364, 1077
816, 364, 1077
834, 334, 1150
886, 279, 1207
879, 186, 1202
815, 60, 1192
730, -5, 1134
730, -5, 1134
675, -35, 1059
617, -105, 1012
549, -195, 975
486, -233, 952
450, -175, 893
423, -165, 831
423, -165, 831
355, -222, 809
286, -272, 839
263, -239, 850
245, -180, 857
224, -118, 853
185, -95, 839
185, -95, 839
133, -124, 880
74, -159, 900
-16, -126, 841
-142, -169, 856
-297, -231, 999
-,-,-
188, -198, 1044
129, -282, 1103
2, -352, 1156
-144, -445, 1118
-262, -468, 1042
-356, -540, 1048
-381, -573, 1082
-398, -603, 1100
-386, -582, 1010
-316, -482, 979
-209, -391, 1004
-121, -363, 1023
-57, -332, 1027
-57, -332, 1027
