-,-,-
-577, -364, 749
-566, -327, 691
-561, -338, 754
-549, -373, 800
-509, -389, 721
-521, -389, 711
-573, -381, 769
-,-,-
-591, -112, 801
-583, -125, 819
-581, -98, 767
-568, -100, 802
-561, -100, 810
-576, -92, 770
-572, -107, 779
-577, -112, 776
-577, -112, 776
-570, -122, 797
-571, -119, 817
-565, -125, 821
-568, -125, 827
-585, -124, 834
-582, -141, 857
-600, -141, 840
-607, -149, 877
-631, -161, 905
-655, -186, 901
-676, -201, 946
-676, -201, 946
-681, -193, 936
-644, -162, 868
-608, -61, 786
-581, 137, 882
-605, 240, 928
-559, 260, 777
-531, 221, 705
-531, 221, 705
-489, 107, 615
-487, 1, 449
-531, -97, 360
-572, -252, 384
-635, -361, 479
-691, -463, 586
-720, -574, 550
-720, -574, 550
-741, -721, 452
-720, -825, 403
-685, -887, 271
-671, -915, 150
-639, -882, 136
-640, -834, 134
-657, -725, 227
-653, -658, 333
-649, -589, 367
-638, -472, 487
-638, -472, 487
-620, -344, 590
-615, -237, 601
-608, -140, 648
-588, -56, 723
-580, -23, 779
-599, 21, 850
-617, 121, 942
-617, 121, 942
-631, 234, 1111
-631, 276, 1185
-607, 235, 1108
-569, 125, 1005
-528, -89, 830
-538, -402, 591
-571, -639, 351
-629, -804, 299
-685, -856, 355
-709, -949, 283
-709, -949, 283
-705, -956, 253
-,-,-
39, -19, 986
13, -7, 1005
13, -7, 1005
96, -54, 1002
143, -55, 992
29, -16, 996
29, -16, 996
-50, 24, 1007
-64, 46, 997
2, 21, 1001
-,-,-
-801, 112, 689
-801, 112, 689
-811, 125, 730
-801, 142, 641
-785, 129, 563
-788, 96, 630
-792, 86, 602
-791, 39, 573
-791, 39, 573
-782, 21, 518
-801, -54, 516
-778, -43, 462
-758, -4, 444
-758, -4, 444
-710, 77, 452
-676, 115, 483
